Group_Type,City,Avg_Restaurant_Count,Total_Restaurant_Count,Locality_Count,Locality,City_Count
City,Abu Dhabi,1.4285714285714286,20,14.0,,
City,Agra,2.5,20,8.0,,
City,Ahmedabad,1.6153846153846154,21,13.0,,
City,Albany,10.0,20,2.0,,
City,Allahabad,6.666666666666667,20,3.0,,
City,Amritsar,3.5,21,6.0,,
City,Ankara,1.3333333333333333,20,15.0,,
City,Armidale,1.0,1,1.0,,
City,Athens,20.0,20,1.0,,
City,Auckland,1.3333333333333333,20,15.0,,
City,Augusta,6.666666666666667,20,3.0,,
City,Aurangabad,2.0,20,10.0,,
City,Balingup,1.0,1,1.0,,
City,Bandung,1.0,1,1.0,,
City,Bangalore,1.818181818181818,20,11.0,,
City,Beechworth,1.0,1,1.0,,
City,Bhopal,2.5,20,8.0,,
City,Bhubaneshwar,2.625,21,8.0,,
City,Birmingham,1.25,20,16.0,,
City,Bogor,1.0,2,2.0,,
City,Boise,6.666666666666667,20,3.0,,
City,Brasï¿½_lia,2.0,20,10.0,,
City,Cape Town,1.6666666666666667,20,12.0,,
City,Cedar Rapids/Iowa City,5.0,20,4.0,,
City,Chandigarh,2.571428571428572,18,7.0,,
City,Chatham-Kent,1.0,1,1.0,,
City,Chennai,1.3333333333333333,20,15.0,,
City,Clatskanie,1.0,1,1.0,,
City,Cochrane,1.0,1,1.0,,
City,Coimbatore,2.5,20,8.0,,
City,Colombo,2.2222222222222223,20,9.0,,
City,Columbus,10.0,20,2.0,,
City,Consort,1.0,1,1.0,,
City,Dalton,2.857142857142857,20,7.0,,
City,Davenport,10.0,20,2.0,,
City,Dehradun,2.0,20,10.0,,
City,Des Moines,1.818181818181818,20,11.0,,
City,Dicky Beach,1.0,1,1.0,,
City,Doha,1.0526315789473684,20,19.0,,
City,Dubai,1.1764705882352942,20,17.0,,
City,Dubuque,20.0,20,1.0,,
City,East Ballina,1.0,1,1.0,,
City,Edinburgh,3.333333333333333,20,6.0,,
City,Faridabad,6.275,251,40.0,,
City,Fernley,1.0,1,1.0,,
City,Flaxton,1.0,1,1.0,,
City,Forrest,1.0,1,1.0,,
City,Gainesville,3.333333333333333,20,6.0,,
