City,Locality,Restaurant Count
Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",2
Abu Dhabi,Al Dhafrah,2
Abu Dhabi,Al Mushrif,1
Abu Dhabi,"Al Wahda Mall, Al Wahda",2
Abu Dhabi,"Crowne Plaza Abu Dhabi, Al Markaziya",1
Abu Dhabi,"Dalma Mall, Mussafah Sanaiya",1
Abu Dhabi,Madinat Zayed,1
Abu Dhabi,"Madinat Zayed Shopping Centre, Madinat Zayed ",1
Abu Dhabi,"Mushrif Mall, Al Mushrif",1
Abu Dhabi,Mussafah Sanaiya,1
Abu Dhabi,Najda,3
Abu Dhabi,"Venetian Village, Al Maqtaa",1
Abu Dhabi,"World Trade Center Mall, Al Markaziya",2
Abu Dhabi,"Yas Mall, Yas Island",1
Agra,Agra Cantt,3
Agra,Civil Lines,2
Agra,"Courtyard by Marriott Agra, Tajganj",1
Agra,"ITC Mughal, Tajganj",2
Agra,Khandari,1
Agra,"Radisson Blu, Tajganj",2
Agra,Rakabganj,1
Agra,Tajganj,8
Ahmedabad,Ambavadi,1
Ahmedabad,Ashram Road,1
Ahmedabad,Bodakdev,5
Ahmedabad,C G Road,1
Ahmedabad,"Courtyard By Marriott, Satellite",1
Ahmedabad,Ellis Bridge,2
Ahmedabad,Ghatlodia,1
Ahmedabad,Gurukul,2
Ahmedabad,Navrangpura,2
Ahmedabad,Prahlad Nagar,1
Ahmedabad,Thaltej,1
Ahmedabad,"The Fern, Sola",1
Ahmedabad,Vastrapur,2
Albany,Albany,19
Albany,Sylvester,1
Allahabad,Civil Lines,18
Allahabad,Tagore Town,1
Allahabad,"Vinayak City Centre Mall, Civil Lines",1
Amritsar,Basant Nagar,2
Amritsar,Hathi Gate,1
Amritsar,INA Colony,3
Amritsar,Ranjit Avenue,5
Amritsar,Town Hall,7
Amritsar,White Avenue,3
Ankara,"Armada AVM, S�_���_t�_z�_, Yenimahalle",1
Ankara,Balgat,2
Ankara,Dikmen,1
Ankara,Emek,1
Ankara,Gazi Osman Pa��a,3
Ankara,Kavakl۱dere,1
Ankara,"Kentpark AVM, ��niversiteler, �ankaya",1
Ankara,K۱z۱lay,2
Ankara,K�_�_�_k Esat,2
Ankara,Macunk�_y,1
Ankara,Maltepe,1
Ankara,Y۱ld۱zevler,1
Ankara,�ayyolu,1
Ankara,�ukurambar,1
Ankara,��mitk�_y,1
Armidale,Armidale,1
Athens,Athens,20
Auckland,Balmoral,1
Auckland,Britomart,3
Auckland,Federal Street,2
Auckland,Fort Street,1
Auckland,Henderson,1
Auckland,Lorne Street,1
Auckland,Mission Bay,1
Auckland,Mt Albert,1
Auckland,Mt Eden,3
Auckland,Newmarket,1
Auckland,Parnell,1
Auckland,Penrose,1
Auckland,"Sky City Metro, Auckland CBD",1
Auckland,"The Langham Hotel, Auckland CBD",1
Auckland,Wynyard Quarter,1
Augusta,Augusta,15
Augusta,Evans,4
Augusta,Grovetown,1
Aurangabad,Akashwani,1
Aurangabad,CIDCO,7
Aurangabad,Chicalthana,1
Aurangabad,"Hotel Green Olive, Nirala Bazar",1
Aurangabad,Mondha,1
Aurangabad,Nirala Bazar,4
Aurangabad,Nyay Nagar,1
Aurangabad,"Prozone Mall, Chicalthana",1
Aurangabad,Shahgunj,1
Aurangabad,Usmanpura,2
Balingup,Balingup,1
Bandung,Dago,1
Bangalore,"BluPetal Hotel, Koramangala",1
Bangalore,Indiranagar,6
Bangalore,JP Nagar,1
Bangalore,Koramangala 5th Block,3
Bangalore,Koramangala 6th Block,1
Bangalore,Koramangala 7th Block,1
Bangalore,Marathahalli,2
Bangalore,New BEL Road,1
Bangalore,Residency Road,1
Bangalore,Sarjapur Road,2
Bangalore,UB City,1
Beechworth,Beechworth,1
Bhopal,Arera Colony,5
Bhopal,"DB City, Maharana Pratap Nagar",3
Bhopal,Gulmohar Colony,1
Bhopal,Kohefiza,1
Bhopal,Maharana Pratap Nagar,5
Bhopal,Peer Gate Area,1
Bhopal,Sayaji Hotel,1
Bhopal,TT Nagar,3
Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",2
Bhubaneshwar,Chandrasekharpur,4
Bhubaneshwar,Gajapati Nagar,1
Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar",1
Bhubaneshwar,Patia,9
Bhubaneshwar,Sahid Nagar,2
Bhubaneshwar,"The Crown, Nayapalli",1
Bhubaneshwar,Unit 4,1
Birmingham,Alum Rock,1
Birmingham,Brindleyplace,1
